"Applied filters:
is_MXN is 1
Excluded (1) (Blank) (rsm_name)
m_DT_net is not blank
Date is on or after 6/1/2026 and is before 6/23/2026
Dimension is CỬA HÀNG
source_store_name is not NEVO HÀ NAM, NEVO THÁI BÌNH, or NEVO THANH HÓA
Measures_Actual is Target DT Tháng, Target DT MXN, Doanh thu, %HT DT tháng, %HT DT MXN, AOV, UPT, PPI, AOV bán Off, %HT AOV, PSD Traffic AI, %HT Traffic, DT/Traffic, CVR AI, %HT CVR, SL Đơn TB/CH/Ngày, %HT Số đơn, PSD DT, PSD DT LY, +/- LFL PSD DT_Off, +/- MoM SL đơn, %LNG, +/- MoM AOV, +/- MoM Traffic, +/- MoM DT/Traffic, +/- MoM PSD DT, +/- WoW PSD DT, +/- WoW SL đơn, +/- WoW AOV, +/- WoW UPT, +/- WoW PPI, +/- WoW Traffic, +/- YoY SL Đơn TB/CH/Ngày, +/- YoY AOV, +/- YoY PSD DT, Số đơn, %Đơn có shirt/blouse, %Đơn có jeans, %Đơn có polo, %Đơn có trousers/pants, %Đơn có sooc, %Đơn có sooc 199, %Đơn có t-shirt, %Đơn có sịp, %Đơn có phụ kiện, %Khách YD Top1 0 đồng, %Đơn có VC YDTop1, %Đơn có 1 SP, +/- MoM DT, +/- MoM AOV bán off, +/- MoM UPT, +/- MoM PPI, +/- WoW DT, %Khách mới, or %Khách cũ
asm_name is NGUYỄN KHANG THỊNH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CỬA HÀNG,SLCH HT MXN,Target DT Tháng,Target DT MXN,Doanh thu,%HT DT tháng,%HT DT MXN,AOV,UPT,PPI,AOV bán Off,%HT AOV,PSD Traffic AI,%HT Traffic,DT/Traffic,CVR AI,%HT CVR,SL Đơn TB/CH/Ngày,%HT Số đơn,PSD DT,PSD DT LY,+/- LFL PSD DT_Off,+/- MoM SL đơn,%LNG,+/- MoM AOV,+/- MoM Traffic,+/- MoM DT/Traffic,+/- MoM PSD DT,+/- WoW PSD DT,+/- WoW SL đơn,+/- WoW AOV,+/- WoW UPT,+/- WoW PPI,+/- WoW Traffic,+/- YoY SL Đơn TB/CH/Ngày,+/- YoY AOV,+/- YoY PSD DT,Số đơn,%Đơn có shirt/blouse,%Đơn có jeans,%Đơn có polo,%Đơn có trousers/pants,%Đơn có sooc,%Đơn có sooc 199,%Đơn có t-shirt,%Đơn có sịp,%Đơn có phụ kiện,%Khách YD Top1 0 đồng,%Đơn có VC YDTop1,%Đơn có 1 SP,+/- MoM DT,+/- MoM AOV bán off,+/- MoM UPT,+/- MoM PPI,+/- WoW DT,%Khách mới,%Khách cũ,%Chiết khấu
YODY SÓC TRĂNG,0/1,"976,687,682","738,394,151","369,433,100",37.8%,50.0%,"810,160",2.62,"309,408","843,112",101.3%,40,47.3%,"419,568",52.2%,104.5%,21,49.4%,"16,792,414",,,0.2%,60.7%,-5.6%,-20.6%,26.4%,-5.4%,-8.2%,-9.0%,0.8%,0.1%,0.8%,-8.4%,0.00%,0.00%,,456,8.23%,11.8%,44.1%,8.44%,24.7%,6.75%,37.3%,7.6%,14.1%,27%,5.49%,37.3%,-5.4%,-6.2%,-2.4%,-3.3%,-8.2%,70.8%,29.2%,4.1%
YODY 30 - 4 CẦN THƠ,1/1,"746,198,430","564,139,967","623,857,364",83.6%,110.6%,"946,673",3.02,"313,969","1,011,703",118.6%,52,80.7%,"523,896",58.7%,117.4%,30,93.2%,"28,357,153","25,749,750",10.1%,11.1%,58.7%,10.4%,20.3%,7.3%,22.6%,0.6%,4.3%,-3.5%,-2.4%,-1.1%,5.2%,-1.05%,11.30%,10.1%,659,6.93%,15.0%,46.6%,12.98%,18.7%,5.31%,22.6%,11.1%,19.0%,7%,27.29%,36.7%,22.6%,3.6%,16.3%,-5.1%,0.6%,28.5%,71.5%,9.1%
YODY LONG XUYÊN,1/1,"679,517,167","513,727,684","661,809,648",97.4%,128.8%,"1,035,696",3.30,"314,250","1,165,109",125.7%,49,86.2%,"523,201",57.2%,114.4%,29,102.5%,"30,082,257","23,197,481",29.8%,41.1%,58.6%,19.1%,59.6%,10.9%,67.9%,4.2%,2.4%,1.8%,1.7%,0.1%,12.0%,12.11%,15.76%,29.7%,639,6.02%,12.0%,44.7%,10.83%,23.8%,6.47%,26.6%,12.0%,22.7%,11%,28.12%,33.8%,67.9%,22.9%,26.4%,-5.8%,4.2%,22.7%,77.3%,10.3%
YODY CẦN THƠ 3,0/1,"615,828,411","465,577,794","452,864,403",73.5%,97.3%,"918,589",2.89,"318,246","896,967",125.5%,43,74.4%,"419,855",51.3%,102.6%,22,77.5%,"20,584,746","20,608,392",-0.1%,22.3%,58.8%,12.7%,37.0%,1.6%,37.9%,4.8%,2.5%,2.3%,2.7%,-0.4%,10.1%,0.00%,-0.11%,-0.1%,493,6.13%,14.4%,41.1%,10.28%,18.6%,4.94%,27.7%,10.5%,18.4%,11%,15.81%,42.5%,37.9%,-20.6%,12.9%,-0.2%,4.8%,25.5%,74.5%,9.2%
YODY BẠC LIÊU,0/1,"426,967,614","322,795,500","217,146,220",50.9%,67.3%,"889,944",2.93,"303,701","995,712",95.9%,23,73.5%,"414,321",49.6%,99.2%,11,70.1%,"9,870,283","14,600,949",-31.8%,19.0%,57.9%,-6.3%,42.6%,-11.2%,11.6%,2.8%,0.0%,2.8%,8.8%,-5.5%,7.6%,-20.78%,-13.89%,-32.4%,244,2.36%,15.4%,42.5%,7.87%,15.7%,4.72%,30.3%,12.6%,22.0%,23%,19.29%,34.3%,11.6%,-0.7%,3.2%,-9.2%,2.8%,19.3%,80.7%,8.4%
YODY LONG XUYÊN 2,0/1,"426,812,355","322,678,123","294,642,470",69.0%,91.3%,"938,352",3.05,"307,560","1,053,843",109.6%,20,57.7%,"561,053",68.1%,136.2%,14,83.3%,"13,392,840","13,176,278",1.9%,39.6%,59.3%,16.3%,41.7%,3.9%,62.3%,4.8%,12.1%,-6.6%,-8.1%,1.7%,10.5%,1.62%,0.24%,1.6%,314,5.86%,19.1%,44.8%,10.80%,21.9%,7.41%,25.6%,8.0%,18.2%,20%,18.21%,36.4%,62.3%,19.7%,27.1%,-8.5%,4.8%,25.9%,74.1%,7.0%
YODY RẠCH SỎI - KIÊN GIANG,0/1,"362,537,387","274,085,044","231,390,440",63.8%,84.4%,"811,896",2.89,"281,155","887,505",186.3%,19,34.0%,"508,920",64.7%,129.5%,13,45.3%,"10,517,747","14,568,292",-3.3%,49.2%,56.3%,-0.9%,53.1%,6.3%,47.9%,11.2%,12.2%,-0.9%,2.2%,-3.0%,12.8%,-12.04%,9.99%,-27.8%,285,7.93%,14.8%,46.2%,8.62%,26.2%,6.55%,35.5%,10.7%,24.5%,12%,29.31%,29.3%,47.9%,3.5%,10.5%,-10.3%,11.2%,24.5%,75.5%,8.9%
