"Applied filters:
is_MXN is 1
Excluded (1) (Blank) (rsm_name)
m_DT_net is not blank
Date is on or after 6/1/2026
Dimension is CỬA HÀNG
source_store_name is not NEVO HÀ NAM, NEVO THÁI BÌNH, or NEVO THANH HÓA
Measures_Actual is Target DT Tháng, Target DT MXN, Doanh thu, %HT DT tháng, %HT DT MXN, AOV, UPT, PPI, AOV bán Off, %HT AOV, PSD Traffic AI, %HT Traffic, DT/Traffic, CVR AI, %HT CVR, SL Đơn TB/CH/Ngày, %HT Số đơn, PSD DT, PSD DT LY, +/- LFL PSD DT_Off, +/- MoM SL đơn, %LNG, +/- MoM AOV, +/- MoM Traffic, +/- MoM DT/Traffic, +/- MoM PSD DT, +/- WoW PSD DT, +/- WoW SL đơn, +/- WoW AOV, +/- WoW UPT, +/- WoW PPI, +/- WoW Traffic, +/- YoY SL Đơn TB/CH/Ngày, +/- YoY AOV, +/- YoY PSD DT, Số đơn, %Khách mới, %Khách cũ, %Đơn có shirt/blouse, %Đơn có jeans, %Đơn có polo, %Đơn có trousers/pants, %Đơn có sooc, %Đơn có t-shirt, %Đơn có sooc 199, %Đơn có sịp, %Đơn có phụ kiện, %Đơn có 1 SP, +/- MoM DT, +/- MoM AOV bán off, +/- MoM UPT, or +/- WoW DT
asm_name is NGUYỄN KHANG THỊNH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CỬA HÀNG,SLCH HT MXN,Target DT Tháng,Target DT MXN,Doanh thu,%HT DT tháng,%HT DT MXN,AOV,UPT,PPI,AOV bán Off,%HT AOV,PSD Traffic AI,%HT Traffic,DT/Traffic,CVR AI,%HT CVR,SL Đơn TB/CH/Ngày,%HT Số đơn,PSD DT,PSD DT LY,+/- LFL PSD DT_Off,+/- MoM SL đơn,%LNG,+/- MoM AOV,+/- MoM Traffic,+/- MoM DT/Traffic,+/- MoM PSD DT,+/- WoW PSD DT,+/- WoW SL đơn,+/- WoW AOV,+/- WoW UPT,+/- WoW PPI,+/- WoW Traffic,+/- YoY SL Đơn TB/CH/Ngày,+/- YoY AOV,+/- YoY PSD DT,Số đơn,%Khách mới,%Khách cũ,%Đơn có shirt/blouse,%Đơn có jeans,%Đơn có polo,%Đơn có trousers/pants,%Đơn có sooc,%Đơn có t-shirt,%Đơn có sooc 199,%Đơn có sịp,%Đơn có phụ kiện,%Đơn có 1 SP,+/- MoM DT,+/- MoM AOV bán off,+/- MoM UPT,+/- WoW DT,%Chiết khấu
YODY SÓC TRĂNG,0/1,"976,687,682","928,399,946","458,435,950",46.9%,49.4%,"824,525",2.73,"301,603","850,806",103.1%,38,45.8%,"428,191",52.7%,105.3%,20,47.9%,"16,372,712",,,-3.0%,59.9%,-2.2%,-22.7%,28.8%,-5.1%,-1.8%,-3.3%,1.5%,3.2%,-1.6%,-3.1%,0.00%,0.00%,,556,67.7%,32.3%,8.62%,12.2%,45.7%,7.93%,24.5%,38.6%,6.55%,7.6%,14.3%,37.4%,-5.1%,-3.3%,2.1%,-1.8%,6.4%
YODY 30 - 4 CẦN THƠ,1/1,"746,198,430","709,306,153","788,443,014",105.7%,111.2%,"979,432",3.07,"318,692","1,054,883",122.7%,51,80.6%,"526,207",57.6%,115.2%,29,90.6%,"28,158,679","25,730,632",9.4%,5.2%,58.3%,12.2%,19.3%,6.1%,18.1%,2.4%,0.5%,1.9%,1.3%,0.6%,4.4%,-5.41%,15.69%,9.4%,805,27.2%,72.8%,6.83%,14.3%,46.9%,12.59%,18.3%,24.0%,5.40%,10.4%,17.5%,36.7%,18.1%,6.7%,15.9%,2.4%,10.0%
YODY LONG XUYÊN,1/1,"679,517,167","645,921,631","816,809,930",120.2%,126.5%,"1,015,933",3.26,"311,522","1,147,296",123.3%,49,87.8%,"513,247",56.6%,113.3%,29,102.6%,"29,171,783","23,056,728",26.6%,29.5%,58.4%,16.6%,57.4%,15.4%,51.0%,0.6%,-0.1%,0.7%,1.7%,-1.0%,7.1%,10.90%,14.16%,26.5%,804,21.8%,78.2%,5.62%,12.9%,45.3%,10.27%,23.3%,27.5%,6.21%,11.2%,21.6%,33.3%,51.0%,15.4%,23.6%,0.6%,10.7%
YODY CẦN THƠ 3,0/1,"615,828,411","585,381,667","566,166,259",91.9%,96.7%,"900,105",2.85,"315,413","893,798",123.0%,43,75.5%,"412,473",51.1%,102.1%,22,78.6%,"20,220,224","21,129,703",-4.3%,15.2%,58.3%,11.4%,34.4%,-2.3%,28.4%,2.1%,2.8%,-0.6%,1.0%,-1.6%,6.9%,-2.02%,-2.30%,-4.3%,629,24.0%,76.0%,6.05%,14.1%,41.6%,9.61%,18.3%,28.4%,4.96%,9.5%,17.4%,41.6%,28.4%,-16.1%,12.9%,2.1%,10.2%
YODY BẠC LIÊU,0/1,"426,967,614","405,858,205","289,832,950",67.9%,71.4%,"925,984",3.02,"306,702","1,007,744",99.8%,23,74.0%,"438,121",51.1%,102.2%,11,71.5%,"10,351,177","13,924,140",-24.9%,21.3%,57.8%,-1.5%,40.1%,-5.1%,19.5%,5.1%,1.0%,4.1%,5.8%,-1.6%,5.6%,-16.53%,-10.05%,-25.7%,313,19.8%,80.2%,3.05%,14.6%,43.3%,6.40%,14.9%,27.1%,4.88%,13.1%,22.6%,36.0%,19.5%,2.0%,6.9%,5.1%,8.9%
YODY LONG XUYÊN 2,0/1,"426,812,355","405,710,623","375,635,241",88.0%,92.6%,"934,416",3.02,"309,675","1,044,357",109.2%,21,61.1%,"545,222",65.6%,131.1%,14,84.8%,"13,415,544","14,362,747",-6.5%,47.3%,58.5%,11.3%,56.8%,-0.1%,63.9%,6.8%,9.5%,-2.5%,-1.8%,-0.7%,13.8%,-4.29%,-2.26%,-6.6%,402,25.2%,74.8%,6.47%,18.2%,44.4%,11.51%,21.3%,23.7%,7.67%,8.6%,18.9%,36.2%,63.9%,14.0%,21.0%,6.8%,8.8%
YODY RẠCH SỎI - KIÊN GIANG,0/1,"362,537,387","344,613,428","298,650,910",82.4%,86.7%,"818,222",2.90,"282,012","890,155",187.8%,20,34.6%,"511,869",65.1%,130.2%,13,46.1%,"10,666,104","15,354,205",-9.9%,49.6%,55.7%,0.0%,56.2%,5.4%,49.6%,13.0%,12.7%,0.3%,1.8%,-1.5%,11.3%,-12.68%,3.18%,-30.5%,365,23.9%,76.1%,7.22%,15.2%,45.7%,8.02%,23.5%,36.4%,5.35%,10.2%,23.0%,33.2%,49.6%,2.4%,12.0%,13.0%,11.3%
YODY NGÃ BẢY,0/1,"299,437,913","284,633,611","278,636,349",93.1%,97.9%,"826,814",2.70,"306,194","863,585",116.5%,24,85.2%,"388,744",50.5%,100.9%,12,84.0%,"9,951,298","11,808,264",-0.9%,51.1%,59.2%,7.1%,77.6%,-7.8%,61.8%,-0.1%,4.7%,-4.6%,1.1%,-5.6%,9.4%,-5.07%,4.43%,-15.7%,337,25.6%,74.4%,6.82%,10.8%,44.6%,9.38%,17.0%,34.7%,6.53%,12.5%,20.7%,36.1%,61.8%,10.1%,16.2%,-0.1%,8.1%
